id,name,device_type,device_role,serial,status,site,rack,position,tenant
2111,AP-Biguacu-TJ_02,,Access Point,,Active,Biguaçu,,,MPSC
2110,AP-Biguacu-TJ_03,,Access Point,,Active,Biguaçu,,,MPSC
2154,AP-Blumenau-2-TJ_01,,Access Point,,Active,Blumenau - Furb,,,MPSC
2155,AP-Blumenau-2-TJ_02,,Access Point,,Active,Blumenau - Furb,,,MPSC
2156,AP-Blumenau-2-TJ_03,,Access Point,,Active,Blumenau - Furb,,,MPSC
2157,AP-Blumenau-2-TJ_04,,Access Point,,Active,Blumenau - Furb,,,MPSC
2158,AP-Blumenau-2-TJ_05,,Access Point,,Active,Blumenau - Furb,,,MPSC
2159,AP-Blumenau-2-TJ_06,,Access Point,,Active,Blumenau - Furb,,,MPSC
2137,AP-Blumenau-TJ_01,,Access Point,,Active,Blumenau,,,MPSC
2138,AP-Blumenau-TJ_02,,Access Point,,Active,Blumenau,,,MPSC
2139,AP-Blumenau-TJ_03,,Access Point,,Active,Blumenau,,,MPSC
2140,AP-Blumenau-TJ_04,,Access Point,,Active,Blumenau,,,MPSC
2141,AP-Blumenau-TJ_05,,Access Point,,Active,Blumenau,,,MPSC
2142,AP-Blumenau-TJ_06,,Access Point,,Active,Blumenau,,,MPSC
2143,AP-Blumenau-TJ_07,,Access Point,,Active,Blumenau,,,MPSC
2144,AP-Blumenau-TJ_08,,Access Point,,Active,Blumenau,,,MPSC
2604,AP-Blumenau-TJ_09,,Access Point,,Active,Blumenau,,,MPSC
2145,AP-Blumenau-TJ_10,,Access Point,,Active,Blumenau,,,MPSC
2146,AP-Blumenau-TJ_11,,Access Point,,Active,Blumenau,,,MPSC
2147,AP-Blumenau-TJ_12,,Access Point,,Active,Blumenau,,,MPSC
2148,AP-Blumenau-TJ_13,,Access Point,,Active,Blumenau,,,MPSC
2149,AP-Blumenau-TJ_14,,Access Point,,Active,Blumenau,,,MPSC
2150,AP-Blumenau-TJ_15,,Access Point,,Active,Blumenau,,,MPSC
2151,AP-Blumenau-TJ_16,,Access Point,,Active,Blumenau,,,MPSC
2152,AP-Blumenau-TJ_17,,Access Point,,Active,Blumenau,,,MPSC
2153,AP-Blumenau-TJ_18,,Access Point,,Active,Blumenau,,,MPSC
2132,AP-Bom-Retiro-TJ_01,,Access Point,,Active,Bom Retiro,,,MPSC
2160,AP-Braco-do-Norte-TJ_01,,Access Point,,Active,Braço do Norte,,,MPSC
2161,AP-Braco-do-Norte-TJ_02,,Access Point,,Active,Braço do Norte,,,MPSC
2162,AP-Braco-do-Norte-TJ_03,,Access Point,,Active,Braço do Norte,,,MPSC
2163,AP-Braco-do-Norte-TJ_04,,Access Point,,Active,Braço do Norte,,,MPSC
3384,AP-Brejaru-01,,Access Point,,Active,Brejarú,,,
2280,AP-Brusque-TJ_01,,Access Point,,Active,Brusque,,,MPSC
2281,AP-Brusque-TJ_02,,Access Point,,Active,Brusque,,,MPSC
2282,AP-Brusque-TJ_03,,Access Point,,Active,Brusque,,,MPSC
2283,AP-Brusque-TJ_04,,Access Point,,Active,Brusque,,,MPSC
2284,AP-Brusque-TJ_05,,Access Point,,Active,Brusque,,,MPSC
2291,AP-Brusque-TJ_06,,Access Point,,Active,Brusque - Unidade Avançada,,,MPSC
2472,AP-Cacador-TJ_01,,Access Point,,Active,Caçador,,,MPSC
2471,AP-Cacador-TJ_02,,Access Point,,Active,Caçador,,,MPSC
2470,AP-Cacador-TJ_03,,Access Point,,Active,Caçador,,,MPSC
2469,AP-Cacador-TJ_04,,Access Point,,Active,Caçador,,,MPSC
2583,AP-Cacador-TJ_05,,Access Point,,Active,Caçador - Unidade Avançada,,,MPSC
2619,AP-Cacador-TJ-Teste,,Access Point,,Offline,Caçador,,,MPSC
2292,AP-Camboriu-TJ_01,,Access Point,,Active,Camboriú,,,MPSC
2293,AP-Camboriu-TJ_02,,Access Point,,Active,Camboriú,,,MPSC
2294,AP-Camboriu-TJ_03,,Access Point,,Active,Camboriú,,,MPSC
2691,AP-Campo-Belo-do-Sul-TJ_01,,Access Point,,Active,Campo Belo do Sul,,,MPSC
2505,AP-Campo-Ere-TJ_01,,Access Point,,Active,Campo Erê,,,MPSC
2506,AP-Campo-Ere-TJ_02,,Access Point,,Active,Campo Erê,,,MPSC
2507,AP-Campo-Ere-TJ_03,,Access Point,,Active,Campo Erê,,,MPSC
2352,AP-Campos-Novos-TJ_01,,Access Point,,Active,Campos Novos,,,MPSC
2353,AP-Campos-Novos-TJ_02,,Access Point,,Active,Campos Novos,,,MPSC
2354,AP-Campos-Novos-TJ_03,,Access Point,,Active,Campos Novos,,,MPSC
2355,AP-Campos-Novos-TJ_04,,Access Point,,Active,Campos Novos,,,MPSC
2269,AP-Canoinhas-TJ_01,,Access Point,,Active,Canoinhas,,,MPSC
2270,AP-Canoinhas-TJ_02,,Access Point,,Active,Canoinhas,,,MPSC
2271,AP-Canoinhas-TJ_03,,Access Point,,Active,Canoinhas,,,MPSC
2272,AP-Canoinhas-TJ_04,,Access Point,,Active,Canoinhas,,,MPSC
2370,AP-Capinzal-TJ_01,,Access Point,,Active,Capinzal,,,MPSC
2371,AP-Capinzal-TJ_02,,Access Point,,Active,Capinzal,,,MPSC
2524,AP-Capivari-de-Baixo-TJ_01,,Access Point,,Active,Capivari de Baixo,,,MPSC
2525,AP-Capivari-de-Baixo-TJ_02,,Access Point,,Active,Capivari de Baixo,,,MPSC
2196,AP-Catanduvas-TJ_01,,Access Point,,Active,Catanduvas,,,MPSC
2197,AP-Catanduvas-TJ_02,,Access Point,,Active,Catanduvas,,,MPSC
2198,AP-Catanduvas-TJ_03,,Access Point,,Active,Catanduvas,,,MPSC
2584,AP-Chapeco-TJ_01,,Access Point,,Active,Chapecó,,,MPSC
2585,AP-Chapeco-TJ_02,,Access Point,,Active,Chapecó,,,MPSC
2586,AP-Chapeco-TJ_03,,Access Point,,Active,Chapecó,,,MPSC
2587,AP-Chapeco-TJ_04,,Access Point,,Active,Chapecó,,,MPSC
2588,AP-Chapeco-TJ_05,,Access Point,,Active,Chapecó,,,MPSC
2589,AP-Chapeco-TJ_06,,Access Point,,Active,Chapecó,,,MPSC
2590,AP-Chapeco-TJ_07,,Access Point,,Active,Chapecó,,,MPSC
2591,AP-Chapeco-TJ_08,,Access Point,,Active,Chapecó,,,MPSC
2592,AP-Chapeco-TJ_09,,Access Point,,Active,Chapecó,,,MPSC
2593,AP-Chapeco-TJ_10,,Access Point,,Active,Chapecó,,,MPSC
2594,AP-Chapeco-TJ_11,,Access Point,,Active,Chapecó,,,MPSC
2595,AP-Chapeco-TJ_12,,Access Point,,Active,Chapecó,,,MPSC
2596,AP-Chapeco-TJ_13,,Access Point,,Active,Chapecó,,,MPSC
2597,AP-Chapeco-TJ_14,,Access Point,,Active,Chapecó,,,MPSC
2482,AP-Concordia-TJ_01,,Access Point,,Active,Concórdia,,,MPSC
2483,AP-Concordia-TJ_02,,Access Point,,Active,Concórdia,,,MPSC
2484,AP-Concordia-TJ_03,,Access Point,,Active,Concórdia,,,MPSC
2485,AP-Concordia-TJ_04,,Access Point,,Active,Concórdia,,,MPSC
2486,AP-Concordia-TJ_05,,Access Point,,Active,Concórdia,,,MPSC
2487,AP-Concordia-TJ_06,,Access Point,,Active,Concórdia,,,MPSC
2367,AP-Coronel-Freitas-TJ_01,,Access Point,,Active,Coronel Freitas,,,MPSC
2368,AP-Coronel-Freitas-TJ_02,,Access Point,,Active,Coronel Freitas,,,MPSC
2369,AP-Coronel-Freitas-TJ_03,,Access Point,,Active,Coronel Freitas,,,MPSC
2230,AP-Correia-Pinto-TJ_01,,Access Point,,Active,Correia Pinto,,,MPSC
2231,AP-Correia-Pinto-TJ_02,,Access Point,,Active,Correia Pinto,,,MPSC
2646,AP-Criciuma-TJ_01,,Access Point,,Active,Criciúma,,,MPSC
2647,AP-Criciuma-TJ_02,,Access Point,,Active,Criciúma,,,MPSC
2648,AP-Criciuma-TJ_03,,Access Point,,Active,Criciúma,,,MPSC
2649,AP-Criciuma-TJ_04,,Access Point,,Active,Criciúma,,,MPSC
2650,AP-Criciuma-TJ_05,,Access Point,,Active,Criciúma,,,MPSC
2651,AP-Criciuma-TJ_06,,Access Point,,Active,Criciúma,,,MPSC
2652,AP-Criciuma-TJ_07,,Access Point,,Active,Criciúma,,,MPSC
2653,AP-Criciuma-TJ_08,,Access Point,,Active,Criciúma,,,MPSC
2654,AP-Criciuma-TJ_09,,Access Point,,Active,Criciúma,,,MPSC
2655,AP-Criciuma-TJ_10,,Access Point,,Active,Criciúma,,,MPSC
2656,AP-Criciuma-TJ_11,,Access Point,,Active,Criciúma,,,MPSC
2657,AP-Criciuma-TJ_12,,Access Point,,Active,Criciúma,,,MPSC
2658,AP-Criciuma-TJ_13,,Access Point,,Active,Criciúma,,,MPSC
2659,AP-Criciuma-TJ_14,,Access Point,,Active,Criciúma,,,MPSC
3375,AP-Criciuma-TJ_15,,Access Point,,Active,Criciúma,,,MPSC
2645,AP-Criciuma-Unesc-TJ_01,,Access Point,,Offline,Criciúma - UNESC,,,MPSC
2232,AP-Cunha-Pora-TJ_01,,Access Point,,Active,Cunha Porã,,,MPSC
2233,AP-Cunha-Pora-TJ_02,,Access Point,,Active,Cunha Porã,,,MPSC
2488,AP-Curitibanos-TJ_01,,Access Point,,Active,Curitibanos,,,MPSC
2489,AP-Curitibanos-TJ_02,,Access Point,,Active,Curitibanos,,,MPSC
2490,AP-Curitibanos-TJ_03,,Access Point,,Active,Curitibanos,,,MPSC
2491,AP-Curitibanos-TJ_04,,Access Point,,Active,Curitibanos,,,MPSC
2273,AP_Deposito.tjsc.jus.br,,Access Point,,Active,Depósito,,,
2234,AP-Descanso-TJ_01,,Access Point,,Active,Descanso,,,MPSC
2235,AP-Descanso-TJ_02,,Access Point,,Active,Descanso,,,MPSC
2259,AP-Dionisio-Cerqueira-TJ_01,,Access Point,,Active,Dionísio Cerqueira,,,MPSC
2260,AP-Dionisio-Cerqueira-TJ_02,,Access Point,,Active,Dionísio Cerqueira,,,MPSC
2275,AP-DIV-PAT-01,,Access Point,,Active,Almoxarifado,,,
2276,AP-DIV-PAT-02,,Access Point,,Active,Almoxarifado,,,
2277,AP-DIV-PAT-03,,Access Point,,Active,Almoxarifado,,,
2399,AP-Eduardo-Luz-TJ_01,,Access Point,,Active,Eduardo Luz,,,MPSC
2400,AP-Eduardo-Luz-TJ_02,,Access Point,,Active,Eduardo Luz,,,MPSC
2401,AP-Eduardo-Luz-TJ_03,,Access Point,,Active,Eduardo Luz,,,MPSC
2402,AP-Eduardo-Luz-TJ_04,,Access Point,,Active,Eduardo Luz,,,MPSC
2403,AP-Eduardo-Luz-TJ_05,,Access Point,,Active,Eduardo Luz,,,MPSC
2404,AP-Eduardo-Luz-TJ_06,,Access Point,,Active,Eduardo Luz,,,MPSC
2405,AP-Eduardo-Luz-TJ_07,,Access Point,,Active,Eduardo Luz,,,MPSC
2130,AP-Forquilhinha-TJ_01,,Access Point,,Active,Forquilhinha,,,MPSC
2131,AP-Forquilhinha-TJ_02,,Access Point,,Active,Forquilhinha,,,MPSC
2175,AP-Forum-Capital-TJ_01,,Access Point,,Active,Fórum da Capital,,,MPSC
2176,AP-Forum-Capital-TJ_02,,Access Point,,Active,Fórum da Capital,,,MPSC
2177,AP-Forum-Capital-TJ_03,,Access Point,,Active,Fórum da Capital,,,MPSC
2178,AP-Forum-Capital-TJ_04,,Access Point,,Active,Fórum da Capital,,,MPSC
2179,AP-Forum-Capital-TJ_05,,Access Point,,Active,Fórum da Capital,,,MPSC
2180,AP-Forum-Capital-TJ_06,,Access Point,,Active,Fórum da Capital,,,MPSC
2181,AP-Forum-Capital-TJ_07,,Access Point,,Active,Fórum da Capital,,,MPSC
2182,AP-Forum-Capital-TJ_08,,Access Point,,Active,Fórum da Capital,,,MPSC
2183,AP-Forum-Capital-TJ_09,,Access Point,,Active,Fórum da Capital,,,MPSC
2184,AP-Forum-Capital-TJ_10,,Access Point,,Active,Fórum da Capital,,,MPSC
2185,AP-Forum-Capital-TJ_11,,Access Point,,Active,Fórum da Capital,,,MPSC
2186,AP-Forum-Capital-TJ_12,,Access Point,,Active,Fórum da Capital,,,MPSC
2187,AP-Forum-Capital-TJ_13,,Access Point,,Active,Fórum da Capital,,,MPSC
2246,AP-Forum-Capital-TJ_14,,Access Point,,Active,Fórum da Capital,,,MPSC
2247,AP-Forum-Capital-TJ_15,,Access Point,,Active,Fórum da Capital,,,MPSC
2248,AP-Forum-Capital-TJ_16,,Access Point,,Active,Fórum da Capital,,,MPSC
2249,AP-Forum-Capital-TJ_17,,Access Point,,Active,Fórum da Capital,,,MPSC
2250,AP-Forum-Capital-TJ_18,,Access Point,,Active,Fórum da Capital,,,MPSC
2133,AP-Forum-Do-Estreito-TJ_01,,Access Point,,Active,Estreito,,,MPSC
2134,AP-Forum-Do-Estreito-TJ_02,,Access Point,,Active,Estreito,,,MPSC
2135,AP-Forum-Do-Estreito-TJ_03,,Access Point,,Active,Estreito,,,MPSC
2136,AP-Forum-Do-Estreito-TJ_04,,Access Point,,Active,Estreito,,,MPSC
2113,AP-Fpolis-Forum-Da-Ufsc-TJ_01,,Access Point,,Active,Norte da Ilha - UFSC,,,MPSC
2114,AP-Fpolis-Forum-Da-Ufsc-TJ_02,,Access Point,,Active,Norte da Ilha - UFSC,,,MPSC
2264,AP-Fraiburgo-TJ_01,,Access Point,,Active,Fraiburgo,,,MPSC
2265,AP-Fraiburgo-TJ_02,,Access Point,,Active,Fraiburgo,,,MPSC
2266,AP-Fraiburgo-TJ_03,,Access Point,,Active,Fraiburgo,,,MPSC
2267,AP-Fraiburgo-TJ_04,,Access Point,,Active,Fraiburgo,,,MPSC
2268,AP-Fraiburgo-TJ_05,,Access Point,,Active,Fraiburgo,,,MPSC
2325,AP-Garopaba-TJ_01,,Access Point,,Active,Garopaba,,,MPSC
2326,AP-Garopaba-TJ_02,,Access Point,,Active,Garopaba,,,MPSC
2708,AP-Garuva-TJ_01,,Access Point,,Active,Garuva,,,MPSC
2709,AP-Garuva-TJ_02,,Access Point,,Active,Garuva,,,MPSC
2285,AP-Gaspar-TJ_01,,Access Point,,Active,Gaspar,,,MPSC
2286,AP-Gaspar-TJ_02,,Access Point,,Active,Gaspar,,,MPSC
2287,AP-Gaspar-TJ_03,,Access Point,,Active,Gaspar,,,MPSC
2288,AP-Gaspar-TJ_04,,Access Point,,Active,Gaspar,,,MPSC
2289,AP-Gaspar-TJ_05,,Access Point,,Active,Gaspar,,,MPSC
2290,AP-Gaspar-TJ_06,,Access Point,,Active,Gaspar,,,MPSC
2686,AP-Guaramirim-TJ_01,,Access Point,,Active,Guaramirim,,,MPSC
2688,AP-Guaramirim-TJ_02,,Access Point,,Active,Guaramirim,,,MPSC
2689,AP-Guaramirim-TJ_03,,Access Point,,Active,Guaramirim,,,MPSC
2508,AP-Herval-dOeste-TJ_01,,Access Point,,Active,Herval do Oeste,,,MPSC
2509,AP-Herval-dOeste-TJ_02,,Access Point,,Active,Herval do Oeste,,,MPSC
2510,AP-Herval-dOeste-TJ_03,,Access Point,,Active,Herval do Oeste,,,MPSC
2511,AP-Herval-dOeste-TJ_04,,Access Point,,Active,Herval do Oeste,,,MPSC
3405,AP-Herval-dOeste-TJ_05,,Access Point,,Active,Herval do Oeste,,,MPSC
2348,AP-High-Tech-TJ_01,,Access Point,,Active,Norte da Ilha,,,MPSC
2349,AP-High-Tech-TJ_02,,Access Point,,Active,Norte da Ilha,,,MPSC
2350,AP-High-Tech-TJ_03,,Access Point,,Active,Norte da Ilha,,,MPSC
2351,AP-High-Tech-TJ_04,,Access Point,,Active,Norte da Ilha,,,MPSC
2127,AP-Ibirama-TJ_01,,Access Point,,Active,Ibirama,,,MPSC
2128,AP-Ibirama-TJ_02,,Access Point,,Active,Ibirama,,,MPSC
2129,AP-Ibirama-TJ_03,,Access Point,,Active,Ibirama,,,MPSC
2620,AP-Icara-TJ_01,,Access Point,,Active,Içara,,,MPSC
2621,AP-Icara-TJ_02,,Access Point,,Active,Içara,,,MPSC
2622,AP-Icara-TJ_03,,Access Point,,Active,Içara,,,MPSC
2624,AP-Imarui-TJ_01,,Access Point,,Active,Imaruí,,,MPSC
2623,AP-Imarui-TJ_02,,Access Point,,Active,Imaruí,,,MPSC
2627,AP-Imbituba-v1-TJ_01,,Access Point,,Active,Imbituba - Primeira Vara,,,MPSC
2628,AP-Imbituba-v1-TJ_02,,Access Point,,Active,Imbituba - Primeira Vara,,,MPSC
2625,AP-Imbituba-v2-TJ_01,,Access Point,,Active,Imbituba - Segunda Vara,,,MPSC
2626,AP-Imbituba-v2-TJ_02,,Access Point,,Active,Imbituba - Segunda Vara,,,MPSC
2615,AP-Indaial-TJ_01,,Access Point,,Active,Indaial,,,MPSC
2616,AP-Indaial-TJ_02,,Access Point,,Active,Indaial,,,MPSC
2617,AP-Indaial-TJ_03,,Access Point,,Active,Indaial,,,MPSC
2618,AP-Indaial-TJ_04,,Access Point,,Active,Indaial,,,MPSC
2512,AP-Ipumirim-TJ_01,,Access Point,,Active,Ipumirim,,,MPSC
2513,AP-Ipumirim-TJ_02,,Access Point,,Active,Ipumirim,,,MPSC
2170,AP-Itaiopolis-TJ_01,,Access Point,,Active,Itaiópolis,,,MPSC
2171,AP-Itaiopolis-TJ_02,,Access Point,,Active,Itaiópolis,,,MPSC
2417,AP-Itajai-TJ_01,,Access Point,,Active,Itajaí,,,MPSC
2418,AP-Itajai-TJ_02,,Access Point,,Active,Itajaí,,,MPSC
2419,AP-Itajai-TJ_03,,Access Point,,Active,Itajaí,,,MPSC
2420,AP-Itajai-TJ_04,,Access Point,,Active,Itajaí,,,MPSC
2421,AP-Itajai-TJ_05,,Access Point,,Active,Itajaí,,,MPSC
2422,AP-Itajai-TJ_06,,Access Point,,Active,Itajaí,,,MPSC
2423,AP-Itajai-TJ_07,,Access Point,,Active,Itajaí,,,MPSC
2424,AP-Itajai-TJ_08,,Access Point,,Active,Itajaí,,,MPSC
2425,AP-Itajai-TJ_09,,Access Point,,Active,Itajaí,,,MPSC
2426,AP-Itajai-TJ_10,,Access Point,,Active,Itajaí,,,MPSC
2427,AP-Itajai-TJ_11,,Access Point,,Active,Itajaí,,,MPSC
2428,AP-Itajai-TJ_12,,Access Point,,Active,Itajaí,,,MPSC
2416,AP-Itapema-TJ_01,,Access Point,,Active,Itapema,,,MPSC
2413,AP-Itapema-TJ_02,,Access Point,,Active,Itapema,,,MPSC
2415,AP-Itapema-TJ_03,,Access Point,,Active,Itapema,,,MPSC
2236,AP-Itapiranga-TJ_01,,Access Point,,Active,Itapiranga,,,MPSC
2677,AP-Itapoa-TJ_01,,Access Point,,Active,Itapoá,,,MPSC
2678,AP-Itapoa-TJ_02,,Access Point,,Active,Itapoá,,,MPSC
2514,AP-Ita-TJ_01,,Access Point,,Active,Itá,,,MPSC
2679,AP-Ituporanga-TJ_01,,Access Point,,Active,Ituporanga,,,MPSC
2680,AP-Ituporanga-TJ_02,,Access Point,,Active,Ituporanga,,,MPSC
2681,AP-Ituporanga-TJ_03,,Access Point,,Active,Ituporanga,,,MPSC
2683,AP-Jaguaruna-TJ_01,,Access Point,,Active,Jaguaruna,,,MPSC
2684,AP-Jaguaruna-TJ_02,,Access Point,,Active,Jaguaruna,,,MPSC
2685,AP-Jaguaruna-TJ_03,,Access Point,,Active,Jaguaruna,,,MPSC
2711,AP-Jaragua-do-Sul-TJ_01,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2712,AP-Jaragua-do-Sul-TJ_02,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2713,AP-Jaragua-do-Sul-TJ_03,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2714,AP-Jaragua-do-Sul-TJ_04,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2715,AP-Jaragua-do-Sul-TJ_05,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2716,AP-Jaragua-do-Sul-TJ_06,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2717,AP-Jaragua-do-Sul-TJ_07,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2710,AP-Jaragua-do-Sul-TJ_08,,Access Point,,Active,Jaraguá do Sul - Unidade Avançada,,,MPSC
2718,AP-Jaragua-do-Sul-TJ_09,,Access Point,,Active,Jaraguá do Sul,,,MPSC
2362,AP-Joacaba-TJ_01,,Access Point,,Active,Joaçaba,,,MPSC
2363,AP-Joacaba-TJ_02,,Access Point,,Active,Joaçaba,,,MPSC
2364,AP-Joacaba-TJ_03,,Access Point,,Active,Joaçaba,,,MPSC
2365,AP-Joacaba-TJ_04,,Access Point,,Active,Joaçaba,,,MPSC
2366,AP-Joacaba-TJ_05,,Access Point,,Active,Joaçaba,,,MPSC
2430,AP-Joinville-Fazendario-TJ_01,,Access Point,,Active,Joinville - Fórum Fazendário,,,MPSC
2431,AP-Joinville-TJ_01,,Access Point,,Active,Joinville,,,MPSC
2432,AP-Joinville-TJ_02,,Access Point,,Active,Joinville,,,MPSC
2433,AP-Joinville-TJ_03,,Access Point,,Active,Joinville,,,MPSC
2434,AP-Joinville-TJ_04,,Access Point,,Active,Joinville,,,MPSC
2435,AP-Joinville-TJ_05,,Access Point,,Active,Joinville,,,MPSC
2436,AP-Joinville-TJ_06,,Access Point,,Active,Joinville,,,MPSC
2437,AP-Joinville-TJ_07,,Access Point,,Active,Joinville,,,MPSC
2438,AP-Joinville-TJ_08,,Access Point,,Active,Joinville,,,MPSC
